TicketID,ExhibitionID,ArtistID,AttendeeName,AttendeeCity,Price,Qty,BookingDate,PaymentStatus
1,1,1,Mrs. Alice,Sydney,323.21,24,1981-11-16,No
2,2,2, Olivia,Paris,408.38,32,1995-01-08,Yes
3,3,3,Dr. Michael,DBX,285.55,87,FJIMQE,
4,4,4,Mrs. Alice,Tokyo,506.45,97,1984-10-08,True
5,5,5,Ms. Robert,Paris,400.72,82,bbP6fo,N
6,6,6,Ms. David,DBX,621.92,93,2024-06-03,False
7,7,7,Ms. Michael,New York,54.7,81,1970-02-12,N
8,8,8,Ms. Alice,Sydney,315.14,44,1995-02-20,Yes
9,9,9,Dr. Olivia,TYO,467.0,30,1963-07-02,True
10,10,10,Mrs. Alice,BOM,263.19,15,1956-09-28,False
11,11,11,Dr. Olivia,Berlin,910.47,47,1988-03-10,N
12,12,12, David,BER,245.93,78,2023-11-01,
13,13,13,Dr. Alice,TYO,72.34,33,1994-03-18,Y
14,14,14, Sophia,NYC,558.97,30,2019-12-07,
15,15,15, Olivia,DBX,766.58,25,2020-08-22,False
16,16,16,Mr. Sophia,Paris,287.6,51,1955-10-03,Y
17,17,17, Olivia,Mumbai,33.36,79,2010-11-28,Yes
18,18,18,Mr. Robert,Berlin,935.84,12,1989-06-01,No
19,19,19,Ms. Emily,Berlin,139.95,57,1950-12-20,False
20,20,20,Dr. Emily,LON,748.08,45,2002-02-20,N
21,21,21,Dr. David,Paris,831.32,55,2023-05-14,False
22,22,22,Dr. Robert,SYD,787.36,80,2009-12-08,No
23,23,23, Sophia,SYD,788.94,77,1989-02-25,No
24,24,24,Ms. John,Sydney,30.84,45,SPObyi,True
25,25,25,Mr. John,DBX,55.7,41,2024-09-08,Y
26,26,26, Robert,PAR,308.06,34,1966-03-12,Yes
27,27,27,Mrs. John,NYC,296.37,71,1978-06-08,N
28,28,28,Mr. Robert,Mumbai,541.42,83,1976-01-26,No
29,29,29, Robert,Mumbai,310.29,90,1993-02-22,True
30,30,30,Ms. Robert,BOM,533.2,61,1972-05-17,Yes
